_id,year,county,hospital,oshpdid,system,type of report,performance measure,# of adverse events,# of cases,risk-adjusted rate,hospital ratings,latitude,longitude
2,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Ischemic,3.0,102.0,6.1,As Expected,37.76266,-122.253
5,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Carotid Endarterectomy,0.0,3.0,0.0,As Expected,37.76266,-122.253
6,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Pneumonia,5.0,98.0,6.1,As Expected,37.76266,-122.253
7,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Heart Failure,5.0,137.0,3.4,As Expected,37.76266,-122.253
8,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,GI Hemorrhage,0.0,85.0,0.0,As Expected,37.76266,-122.253
9,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke,5.0,107.0,11.6,As Expected,37.76266,-122.253
10,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Hemorrhagic,2.0,5.0,29.3,As Expected,37.76266,-122.253
11,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,AMI,0.0,10.0,0.0,As Expected,37.76266,-122.253
12,2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Hip Fracture,0.0,31.0,0.0,As Expected,37.76266,-122.253
13,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,AMI,1.0,26.0,2.3,As Expected,37.85645,-122.257
15,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,GI Hemorrhage,3.0,206.0,1.4,As Expected,37.85645,-122.257
16,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke,14.0,213.0,5.8,Better,37.85645,-122.257
17,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Ischemic,1.0,115.0,1.1,As Expected,37.85645,-122.257
19,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Heart Failure,12.0,306.0,3.3,As Expected,37.85645,-122.257
20,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Hemorrhagic,13.0,95.0,16.2,As Expected,37.85645,-122.257
22,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Subarachnoid,0.0,3.0,0.0,As Expected,37.85645,-122.257
23,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Pneumonia,5.0,82.0,4.6,As Expected,37.85645,-122.257
24,2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Hip Fracture,2.0,89.0,2.7,As Expected,37.85645,-122.257
25,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Carotid Endarterectomy,0.0,4.0,0.0,As Expected,37.79925,-122.231
26,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Hemorrhagic,9.0,40.0,21.5,As Expected,37.79925,-122.231
27,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,GI Hemorrhage,5.0,148.0,3.2,As Expected,37.79925,-122.231
28,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,AMI,13.0,154.0,9.5,As Expected,37.79925,-122.231
29,2017,Alameda,Highland Hospital,106010846,Alameda Health System,Elective PCI,Elective PCI Emergency CABG,0.0,0.0,0.0,As Expected,37.79925,-122.23138
30,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Pancreatic Resection,0.0,6.0,0.0,As Expected,37.79925,-122.231
31,2017,Alameda,Highland Hospital,106010846,Alameda Health System,Elective PCI,Elective PCI Mortality,0.0,0.0,0.0,As Expected,37.79925,-122.23138
32,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Ischemic,2.0,75.0,4.9,As Expected,37.79925,-122.231
33,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Pneumonia,1.0,99.0,2.1,As Expected,37.79925,-122.231
34,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Heart Failure,4.0,379.0,1.5,As Expected,37.79925,-122.231
35,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke,13.0,118.0,10.0,As Expected,37.79925,-122.231
36,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,PCI,4.0,138.0,2.8,As Expected,37.79925,-122.231
37,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Hip Fracture,0.0,45.0,0.0,As Expected,37.79925,-122.231
38,2017,Alameda,Highland Hospital,106010846,Alameda Health System,Elective PCI,Elective PCI Stroke,0.0,0.0,0.0,As Expected,37.79925,-122.23138
39,2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Subarachnoid,2.0,3.0,54.3,As Expected,37.79925,-122.231
40,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Acute Stroke Ischemic,4.0,309.0,1.1,Better,37.82106,-122.262
41,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Hip Fracture,2.0,95.0,1.8,As Expected,37.82106,-122.262
42,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Pancreatic Resection,0.0,8.0,0.0,As Expected,37.82106,-122.262
43,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,PCI,9.0,349.0,3.3,As Expected,37.82106,-122.262
44,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,CABG,Isolated CABG Operative Mor,2.0,144.0,1.65,As Expected,37.82,-122.26
45,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Pneumonia,4.0,109.0,2.8,As Expected,37.82106,-122.262
46,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Heart Failure,27.0,675.0,2.9,As Expected,37.82106,-122.262
47,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,GI Hemorrhage,9.0,341.0,2.6,As Expected,37.82106,-122.262
48,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Acute Stroke Hemorrhagic,4.0,15.0,21.4,As Expected,37.82106,-122.262
50,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,AMI,25.0,451.0,5.7,As Expected,37.82106,-122.262
51,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Carotid Endarterectomy,1.0,14.0,12.6,As Expected,37.82106,-122.262
52,2017,Alameda,Alta Bates Summit Medical Center,106010937,Sutter Health,IMI,Acute Stroke,8.0,325.0,3.3,Better,37.82106,-122.262
53,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Acute Stroke,3.0,67.0,5.9,As Expected,37.63291,-122.089
54,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,PCI,8.0,173.0,7.4,As Expected,37.63291,-122.089
56,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Acute Stroke Hemorrhagic,1.0,3.0,14.8,As Expected,37.63291,-122.089
57,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Pneumonia,4.0,147.0,3.2,As Expected,37.63291,-122.089
59,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Hip Fracture,1.0,26.0,3.8,As Expected,37.63291,-122.089
60,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,GI Hemorrhage,1.0,114.0,1.2,As Expected,37.63291,-122.089
62,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,Elective PCI,Elective PCI Mortality,0.0,26.0,0.0,As Expected,37.63291,-122.08962
63,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Heart Failure,6.0,219.0,4.0,As Expected,37.63291,-122.089
64,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,Acute Stroke Ischemic,1.0,62.0,2.1,As Expected,37.63291,-122.089
65,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,Elective PCI,Elective PCI Stroke,0.0,26.0,0.0,As Expected,37.63291,-122.08962
66,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,IMI,AMI,13.0,207.0,10.2,Worse,37.63291,-122.089
67,2017,Alameda,St. Rose Hospital,106010967,Independent/Other,Elective PCI,Elective PCI Emergency CABG,0.0,26.0,0.0,As Expected,37.63291,-122.08962
68,2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,PCI,11.0,230.0,6.1,As Expected,37.55847,-121.98
69,2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,Acute Stroke Hemorrhagic,20.0,65.0,33.5,Worse,37.55847,-121.98
70,2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,Carotid Endarterectomy,0.0,17.0,0.0,As Expected,37.55847,-121.98
71,2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,Acute Stroke Ischemic,18.0,235.0,9.8,Worse,37.55847,-121.98
72,2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,Pneumonia,19.0,351.0,4.6,Worse,37.55847,-121.98
73,2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,Acute Stroke,44.0,323.0,15.3,Worse,37.55847,-121.98
74,2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,AMI,18.0,302.0,6.2,As Expected,37.55847,-121.98
75,2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,CABG,Isolated CABG Operative Mor,1.0,94.0,1.22,As Expected,37.56,-121.98
76,2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,GI Hemorrhage,13.0,305.0,5.1,Worse,37.55847,-121.98
78,2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,Heart Failure,8.0,478.0,1.8,As Expected,37.55847,-121.98
79,2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,Hip Fracture,5.0,93.0,4.8,As Expected,37.55847,-121.98
80,2017,Alameda,Washington Hospital – Fremont,106010987,Independent/Other,IMI,Acute Stroke Subarachnoid,6.0,23.0,33.4,As Expected,37.55847,-121.98
82,2017,Alameda,San Leandro Hospital,106013619,Alameda Health System,IMI,Pneumonia,0.0,98.0,0.0,As Expected,37.71364,-122.14
